precinct,shape_area,shape_leng,ZCTA5CE10
"1","47285006.2592","80093.5344285","10004"
"5","18094527.4385","18807.1249114","10002"
"6","22017946.5474","24875.9642171","10014"
"7","18366669.928","17287.5444926","10002"
"9","21395386.2669","19772.5107407","10009"
"10","27265496.4913","40227.2250545","10011"
"13","29507656.2644","27719.2073747","10010"
"14","20511128.1195","20973.8201315","10018"
"17","22268768.2674","26719.6801963","10016"
"18","32250244.174","41625.4866799","10019"
"19","48791517.5453","30595.1089765","10128"
"20","27673868.6519","27069.9614199","10023"
"22","38312203.0723","32712.7637008","10026"
"23","21466676.4013","19427.8845417","10029"
"24","25478124.0678","20707.0069544","10025"
"25","44791480.1454","52199.2756427","10035"
"26","23831001.0143","23941.628681","10027"
"28","15294021.6856","17106.1494046","10026"
"30","18846950.4113","21643.8811448","10031"
"32","23024754.9373","25583.7448103","10039"
"33","25731651.9884","22108.2615979","10032"
"34","52225487.412","44062.4075417","10034"
"40","60400197.5202","33440.280834","10454"
"41","62131280.0025","51159.2994277","10474"
"42","44812433.6123","33497.4659986","10456"
"43","113305028.086","62316.4682564","10473"
"44","55511794.0724","31464.1347868","10452"
"45","271911455.759","308989.276137","10465"
"46","38333420.8163","29392.7128418","10453"
"47","160519292.79","86755.6201833","10466"
"48","42477717.458","34481.7597407","10457"
"49","105804534.545","45771.7759576","10469"
"50","136135430.547","52368.112207","10471"
"52","80713476.4066","65959.2856034","10468"
"60","88201090.7163","66071.9855619","11224"
"61","134685551.09","130308.635497","11229"
"62","103226477.176","51711.9569778","11214"
"63","229425964.402","203563.29423","11234"
"66","99486849.7711","52388.6113684","11219"
"67","93814973.7022","43255.8695267","11203"
"68","111015386.417","44451.0177252","11209"
"69","106838731.966","116837.655799","11236"
"70","82171875.0621","49075.56843","11230"
"71","45315380.3646","29932.8044992","11225"
"72","104512376.183","89367.5472077","11215"
"73","51754371.5806","33000.2099604","11212"
"75","180494073.022","106337.8792","11208"
"76","48265948.8542","68207.1821555","11231"
"77","42657454.3687","34769.2539127","11213"
"78","67785328.8867","40052.4520343","11215"
"79","44975552.9582","28256.9272185","11216"
"81","34485980.0509","28386.9296729","11233"
"83","56648865.8976","36960.7222176","11221"
"84","35466134.7102","38209.8942066","11201"
"88","42375844.0883","53359.9027796","11205"
"90","66153409.5827","51576.3363175","11211"
"94","65581802.6172","44663.6845095","11222"
"100","204836691.567","279485.50523","11697"
"101","86031982.576","80619.5972382","11691"
"102","132862642.155","52811.6998049","11418"
"103","100910665.128","48580.2743229","11433"
"104","210559145.399","75791.595697","11385"
"105","347519403.146","134121.252264","11413"
"106","173407507.697","107426.593339","11414"
"107","207578767.296","69279.1266229","11367"
"108","139469763.003","73737.9249842","11377"
"109","322627058.026","137181.287138","11357"
"110","111972249.953","72964.6554958","11368"
"111","259698726.622","103218.168638","11362"
"112","89211461.1998","42560.7180421","11375"
"113","387082869.836","197781.864212","11430"
"114","179510434.905","114956.673285","11105"
"115","114119713.711","60059.4107576","11369"
"120","232327994.245","92945.6974029","10301"
"121","475577637.857","136811.464647","10314"
"122","454852053.697","154842.385071","10306"
"123","460863039.21","120813.673072","10312"
